EVENT_NO,LAT,LONGT
16AB1146, 36.75775,-119.79055
16AB1156, 36.80817,-119.87170
16AB1160,,
16AB1159, 36.75011,-119.84424
16AB1196, 36.79410,-119.78142
16AB1220, 36.75767,-119.80104
16AB1237, 36.73662,-119.79133
16AB1249, 36.80827,-119.85352
16AB1309, 36.72356,-119.79470
16AB1382, 36.75752,-119.82087
16AB1420, 36.75048,-119.75444
16AB1430, 36.76470,-119.82672
16AB1438, 36.82274,-119.83539
16AB1442, 36.73662,-119.79133
16AB1451, 36.76500,-119.77252
16AB1462, 36.82312,-119.75802
16AB1464, 36.75045,-119.77250
16AB1478, 36.75871,-119.80104
16AB1480, 36.82292,-119.79035
16AB1487, 36.78662,-119.81752
16AB1488, 36.75250,-119.78151
16AB1508, 36.79046,-119.79053
16AB1540, 36.85744,-119.78511
16AB1550, 36.77225,-119.79505
16AB1584, 36.76132,-119.79895
16AB1610, 36.77937,-119.68217
16AB1619, 36.76480,-119.81766
16AB1623, 36.77949,-119.79958
16AB1942, 36.77450,-119.83550
16AB1942, 36.77450,-119.83550
16AB2402, 36.74362,-119.80430
16AB2408, 36.80494,-119.78137
16AB2506, 36.75763,-119.80859
16AB2510, 36.75599,-119.80156
16AB2614, 36.80853,-119.79045
16AB2673, 36.85187,-119.79095
16AB2716, 36.83703,-119.80834
16AB2728, 36.75042,-119.71824
16AB2744, 36.85185,-119.76577
16AB2765, 36.83015,-119.79030
16AB2820, 36.75221,-119.80969
16AB2873, 36.81578,-119.76635
16AB2884, 36.79410,-119.78142
16AB3073, 36.77195,-119.83409
16AB3103, 36.75771,-119.78152
16AB3236, 36.80828,-119.82638
16AB3529, 36.74329,-119.77839
16AB3723, 36.74319,-119.70013
16AB3790, 36.71052,-119.75724
16AB3822, 36.73593,-119.73635
16AB3829, 36.70691,-119.75856
16AB3842, 36.77214,-119.81086
16AB3850, 36.76043,-119.71831
16AB3912, 36.73590,-119.74549
16AB3919, 36.71271,-119.75852
16AB3921, 36.70691,-119.75727
16AB3947, 36.71052,-119.75724
16AB3961, 36.74321,-119.74547
16AB4033, 36.77044,-119.79336
16AB4038, 36.79413,-119.75427
16AB4068, 36.80857,-119.78139
16AB4072, 36.71415,-119.73653
16AB4074, 36.72500,-119.76138
16AB4101, 36.77228,-119.77255
16AB4129, 36.77931,-119.79919
16AB4129, 36.77931,-119.79919
16AB4141, 36.73662,-119.79133
16AB4161, 36.75747,-119.71827
16AB4186, 36.78685,-119.74842
16AB4191, 36.73593,-119.73635
16AB4262, 36.83730,-119.77223
16AB4266, 36.77967,-119.79053
16AB4370, 36.78657,-119.82648
16AB4504, 36.73588,-119.76764
16AB4512, 36.77949,-119.79958
16AB4756, 36.80822,-119.84441
16AB4991, 36.74955,-119.77927
16AB5023, 36.75023,-119.82660
16AB5081, 36.73590,-119.74092
16AB5110, 36.81225,-119.75413
16AB5110, 36.81225,-119.75413
16AB5120, 36.74321,-119.74547
16AB5199, 36.77968,-119.78328
16AB5205, 36.75045,-119.73638
16AB5310, 36.74773,-119.77252
16AB5350, 36.83726,-119.79025
16AB5363, 36.74316,-119.71827
16AB5377, 36.72139,-119.79982
16AB5394, 36.74318,-119.77243
16AB5392, 36.73592,-119.72740
16AB5414, 36.74318,-119.77243
16AB5417, 36.73592,-119.72512
16AB5453, 36.73590,-119.71837
16AB5454, 36.74294,-119.80682
16AB5454, 36.74294,-119.80682
16AB5459, 36.86663,-119.74780
16AB5469, 36.78391,-119.81754
16AB5597, 36.79381,-119.82640
16AB5333, 36.86925,-119.75870
16AB5699, 36.77931,-119.82656
16AB6241, 36.78632,-119.88035
16AB6249, 36.77594,-119.77257
16AB6279, 36.77323,-119.76011
16AB6366, 36.71414,-119.75468
16AB6411, 36.73590,-119.74092
16AB6411, 36.73590,-119.74092
16AB6480, 36.73965,-119.80689
16AB6571, 36.74860,-119.70920
16AB6597, 36.80283,-119.78246
16AB6610, 36.83726,-119.79025
16AB6643, 36.75744,-119.83992
16AB6672, 36.79555,-119.77232
16AB6675, 36.75023,-119.82660
16AB6724, 36.75746,-119.82666
16AB6867, 36.80352,-119.77231
16AB6903, 36.78848,-119.83541
16AB6955, 36.73590,-119.74092
16AB6954, 36.77924,-119.83549
16AB6979, 36.74411,-119.77091
16AB6980, 36.75045,-119.77250
16AB7009, 36.82306,-119.73601
16AB7121, 36.78733,-119.88263
16AB7267, 36.73405,-119.74550
16AB7346, 36.70677,-119.77197
16AB7349, 36.76502,-119.79055
16AB7422, 36.80822,-119.84441
16AB7471, 36.77951,-119.73630
16AB7816, 36.86632,-119.77959
16AB7871, 36.75752,-119.82087
16AB7936, 36.77591,-119.79055
16AB7951, 36.80859,-119.76325
16AB7957, 36.78142,-119.75434
16AB7961, 36.74329,-119.79142
16AB7966, 36.77229,-119.77480
16AB7972, 36.72856,-119.82212
16AB7983, 36.72132,-119.81988
16AB7995, 36.72642,-119.81538
16AB8000, 36.75042,-119.79889
16AB7959, 36.72533,-119.79227
16AB8038, 36.73590,-119.74092
16AB8039, 36.73889,-119.73252
16AB8096, 36.84827,-119.78374
16AB8097, 36.79434,-119.74550
16AB8126, 36.75250,-119.78350
16AB8130, 36.75743,-119.83059
16AB8136, 36.76509,-119.74782
16AB8139, 36.80861,-119.75418
16AB8143, 36.75044,-119.77700
16AB8145, 36.78640,-119.85652
16AB8151, 36.75037,-119.78828
16AB8151, 36.75037,-119.78828
16AB8152, 36.75746,-119.82912
16AB8162, 36.74330,-119.78601
16AB8178, 36.77931,-119.82656
16AB8185, 36.75039,-119.78939
16AB8194, 36.76703,-119.75451
16AB8194, 36.76703,-119.75451
16AB8204, 36.77046,-119.77480
16AB8221, 36.75039,-119.80032
16AB8225, 36.75746,-119.82912
16AB8229, 36.76469,-119.83553
16AB8230, 36.75024,-119.82542
16AB8233, 36.72867,-119.73647
16AB8239, 36.80303,-119.83432
16AB8240, 36.75046,-119.76686
16AB8250, 36.80132,-119.79048
16AB8255, 36.73230,-119.73193
16AB8282, 36.74593,-119.74545
16AB8383, 36.85185,-119.80181
16AB8489, 36.77195,-119.83409
16AB8545, 36.71975,-119.76965
16AB8673, 36.77195,-119.83409
16AB9077, 36.73845,-119.70011
16AB9146, 36.78203,-119.82653
16AB9261, 36.83018,-119.78128
16AB9396, 36.79381,-119.82640
16AB9512, 36.75771,-119.78152
16AB9518, 36.74954,-119.77250
16AB9528, 36.79368,-119.85330
16AB9592, 36.72656,-119.79796
16AB9596, 36.74177,-119.79156
16AB9611, 36.70413,-119.79530
16AB9612, 36.72533,-119.79227
16AB9621, 36.75766,-119.80350
16AB9619, 36.75045,-119.76599
16AB9637, 36.71416,-119.79304
16AB9644, 36.82293,-119.78839
16AB9655, 36.72955,-119.80124
16AB9650, 36.81219,-119.79043
16AB9662, 36.75873,-119.79955
16AB9667, 36.77218,-119.70024
16AB9693, 36.75502,-119.79054
16AB9827, 36.73589,-119.75456
16AC0009, 36.74773,-119.77252
16AC0125, 36.74411,-119.74546
16AC0339, 36.74382,-119.76948
16AC0424, 36.81588,-119.75417
16AC0534, 36.74865,-119.74544
16AC0551, 36.70896,-119.75854
16AC0561, 36.80861,-119.75418
16AC0568, 36.72863,-119.74556
16AC0564, 36.74319,-119.70013
16AC0599, 36.74319,-119.76928
16AC0626, 36.72434,-119.79367
16AC0644, 36.82272,-119.84441
16AC0666, 36.82275,-119.82637
16AC0650, 36.82275,-119.82637
16AC0686, 36.74957,-119.75897
16AC0682, 36.74317,-119.72735
16AC0695, 36.72868,-119.73195
16AC0694, 36.70897,-119.75472
16AC0754, 36.80816,-119.87460
16AC0804, 36.75048,-119.75444
16AC0816, 36.83704,-119.88947
16AC0834, 36.74411,-119.77247
16AC0873, 36.75236,-119.77247
16AC0905, 36.73593,-119.73635
16AC0910, 36.74318,-119.77243
16AC0908, 36.76500,-119.77252
16AC0922, 36.75048,-119.75444
16AC0939, 36.75047,-119.76077
16AC0939, 36.75047,-119.76077
16AC0952, 36.74503,-119.78940
16AC0951, 36.73592,-119.72740
16AC0959, 36.75036,-119.68206
16AC0956, 36.74318,-119.77243
16AC0979, 36.73230,-119.73642
16AC1008, 36.84091,-119.79037
16AC1018, 36.71597,-119.77269
16AC1028, 36.71416,-119.78511
16AC1040, 36.80817,-119.87170
16AC1033, 36.74314,-119.70924
16AC1014, 36.79371,-119.84429
16AC1047, 36.75951,-119.79891
16AC1067, 36.74501,-119.77246
16AC1077, 36.84267,-119.79045
16AC1101, 36.77219,-119.80409
16AC1132, 36.75769,-119.78588
16AC1121, 36.76501,-119.78154
16AC1160, 36.74319,-119.73642
16AC1171, 36.75227,-119.79504
16AC1184, 36.75024,-119.82542
16AC1209, 36.72681,-119.75462
16AC1358, 36.71995,-119.69994
16AC1492, 36.74749,-119.80661
16AC1805, 36.77931,-119.82656
16AC1958, 36.77216,-119.80861
16AC2036, 36.80095,-119.84438
16AC2099, 36.82197,-119.78785
16AC2110, 36.76138,-119.79055
16AC2115, 36.84525,-119.79314
16AC2117, 36.82292,-119.79035
16AC2122, 36.77931,-119.82656
16AC2127, 36.73590,-119.70507
16AC2144, 36.82652,-119.79039
16AC2187, 36.74503,-119.75448
16AC2188, 36.75046,-119.76799
16AC2196, 36.83870,-119.78985
16AC2214, 36.75048,-119.75444
16AC2228, 36.83015,-119.79030
16AC2244, 36.84572,-119.79314
16AC2260, 36.74321,-119.74321
16AC2260, 36.74321,-119.74321
16AC2287, 36.75048,-119.75444
16AC2287, 36.75048,-119.75444
16AC2295, 36.82652,-119.79039
16AC2306, 36.75843,-119.82115
16AC2308, 36.74890,-119.79888
16AC2323, 36.75024,-119.82542
16AC2325, 36.74956,-119.74543
16AC2526, 36.79381,-119.82640
16AC2529, 36.80859,-119.84962
16AC2576, 36.80827,-119.85352
16AC2649, 36.72867,-119.73647
16AC3155, 36.72538,-119.81542
16AC3304, 36.78359,-119.86409
16AC3373, 36.72958,-119.73646
16AC3376, 36.72512,-119.73648
16AC3398, 36.74136,-119.73643
16AC3414, 36.85202,-119.75677
16AC3434, 36.79374,-119.82030
16AC3472, 36.82285,-119.81008
16AC3471, 36.76534,-119.70026
16AC3489, 36.77195,-119.83409
16AC3489, 36.77195,-119.83409
16AC3489, 36.77195,-119.83409
16AC3512, 36.82283,-119.84884
16AC3527, 36.81442,-119.87080
16AC3534, 36.79046,-119.79053
16AC3566, 36.78286,-119.83663
16AC3575, 36.70688,-119.79078
16AC3577, 36.76122,-119.78589
16AC3576, 36.72743,-119.81762
16AC3596, 36.79410,-119.79052
16AC3601, 36.79381,-119.82640
16AC3699, 36.85286,-119.79086
16AC3800, 36.72500,-119.75463
16AC3916, 36.74319,-119.73642
16AC4211, 36.80819,-119.86262
16AC4314, 36.75446,-119.75401
16AC4363, 36.81540,-119.88769
16AC4533, 36.78662,-119.81752
16AC4866, 36.72726,-119.78958
16AC4880, 36.83753,-119.73616
16AC4880, 36.83753,-119.73616
16AC4892, 36.80127,-119.79499
16AC4907, 36.75454,-119.78146
16AC4911, 36.76504,-119.77554
16AC4918, 36.75250,-119.78151
16AC4972, 36.82298,-119.78131
16AC5022, 36.77949,-119.79958
16AC5044, 36.77229,-119.74539
16AC5161, 36.83401,-119.91570
16AC6079, 36.79228,-119.78825
16AC6151, 36.79266,-119.79081
16AC6159, 36.74958,-119.75671
16AC6220, 36.83729,-119.82634
16AC6350, 36.70684,-119.74563
16AC6357, 36.73590,-119.74322
16AC6368, 36.81219,-119.79043
16AC6419, 36.81219,-119.79043
16AC6421, 36.75048,-119.75444
16AC6422, 36.77555,-119.77138
16AC6433, 36.74317,-119.72735
16AC6448, 36.82292,-119.79035
16AC6462, 36.83753,-119.73616
16AC6491, 36.75039,-119.80032
16AC6478, 36.74318,-119.77243
16AC6492, 36.75589,-119.77251
16AC6500, 36.71053,-119.75470
16AC6525, 36.71052,-119.75342
16AC6552, 36.82463,-119.81735
16AC6964, 36.84452,-119.79738
16AC7221, 36.75749,-119.73411
16AC7512, 36.74319,-119.73642
16AC7551, 36.72356,-119.79470
16AC7592, 36.72279,-119.81330
16AC7615, 36.72691,-119.81764
